seq us class
2118885444 1767 7
2118885461 1767 7
2118885498 1767 7
2118885499 1767 7
2118924919 1736 8
2118924929 1736 8
2118924930 1736 8
2118924935 1736 8
2118924948 1736 8
2118924949 1736 8
2118924950 1736 8
2118924951 1736 8
2118924952 1736 8
2118924953 1736 8
2118924969 1736 8
2118924988 1736 8
2118924989 1736 8
2118924992 1736 8
2118924993 1736 8
2118925014 1736 8
2118925015 1736 8
2118925023 1736 8
2118925024 1736 8
2118925032 1736 8
2118925033 1736 8
2118925037 1736 8
2118925038 1736 8
2118925045 1736 8
2118925046 1736 8
2118925048 1736 8
2118925052 1736 8
2118925053 1736 8
2118925063 1736 8
2118925064 1736 8
2118925113 1736 8
2118925114 1736 8
2118925128 1736 8
2118925129 1736 8
2118925134 1736 8
2118925141 1736 8
2118925142 1736 8
2118925164 1736 8
2118925165 1736 8
2118925686 1733 9
2118925699 1733 9
2118925700 1733 9
2118925701 1733 9
2118925702 1733 9
2118925711 1733 9
2118925735 1733 9
2118925736 1733 9
2118925742 1733 9
2118925752 1733 9
2118925759 1733 9
2118925760 1733 9
2118925761 1733 9
2118925762 1733 9
2118925765 1733 9
2118925766 1733 9
2118925769 1733 9
2118925770 1733 9
2118925773 1733 9
2118925774 1733 9
2118925785 1733 9
2118925788 1733 9
2118925791 1733 9
2118925792 1733 9
2118925799 1733 9
2118925800 1733 9
2118925801 1733 9
2118925802 1733 9
2118925807 1733 9
2118925808 1733 9
2118925809 1733 9
2118925810 1733 9
2118927567 1724 5
2118927568 1724 5
2118927569 1724 5
2118927570 1724 5
2118927619 1724 5
2118927620 1724 5
2118928145 1720 7
2118928146 1720 7
2118928152 1720 7
2118928153 1720 7
2118928154 1720 7
2118928155 1720 7
2118928156 1720 7
2118928157 1720 7
2118928158 1720 7
2118928159 1720 7
2118928160 1720 7
2118928161 1720 7
2118928162 1720 7
2118928163 1720 7
2118928164 1720 7
2118928165 1720 7
2118928166 1720 7
2118928167 1720 7
2118928168 1720 7
2118928169 1720 7
2118928170 1720 7
2118928171 1720 7
